iter	Passed	Remaining
0	56	56596
1	56	28415
2	57	19010
3	57	14303
4	57	11477
5	57	9591
6	58	8245
7	58	7233
8	58	6446
9	58	5818
10	59	5305
11	59	4875
12	59	4512
13	59	4200
14	59	3930
15	60	3692
16	60	3484
17	60	3299
18	60	3135
19	60	2986
20	61	2851
21	61	2727
22	61	2616
23	61	2512
24	62	2419
25	62	2332
26	63	2272
27	63	2197
28	63	2126
29	63	2061
30	63	1999
31	64	1940
32	64	1885
33	64	1834
34	64	1786
35	65	1741
36	65	1698
37	65	1657
38	65	1619
39	65	1582
40	66	1547
41	66	1514
42	66	1481
43	66	1451
44	66	1421
45	67	1393
46	67	1366
47	67	1342
48	67	1317
49	68	1294
50	68	1272
51	68	1249
52	68	1228
53	68	1208
54	69	1189
55	69	1170
56	69	1153
57	69	1136
58	70	1119
59	70	1103
60	70	1089
61	71	1074
62	71	1058
63	71	1044
64	71	1029
65	71	1016
66	72	1002
67	72	988
68	72	975
69	72	964
70	72	953
71	73	941
72	73	930
73	73	919
74	73	908
75	73	898
76	74	889
77	74	879
78	74	870
79	74	860
80	75	851
81	75	842
82	75	833
83	75	824
84	75	815
85	75	807
86	76	798
87	76	791
88	76	783
89	76	776
90	77	769
91	77	762
92	77	757
93	77	750
94	78	744
95	78	738
96	78	731
97	78	725
98	79	719
99	79	713
100	79	707
101	79	700
102	79	694
103	80	689
104	80	684
105	80	679
106	80	673
107	80	668
108	81	663
109	81	658
110	81	653
111	81	648
112	82	644
113	82	639
114	82	634
115	82	629
116	82	625
117	83	620
118	83	615
119	83	611
120	83	607
121	83	603
122	83	598
123	84	594
124	84	590
125	84	586
126	84	582
127	84	577
128	85	574
129	85	570
130	85	567
131	85	563
132	85	559
133	86	556
134	86	553
135	86	549
136	86	546
137	86	542
138	87	539
139	87	536
140	87	533
141	87	530
142	87	526
143	88	523
144	88	520
145	88	517
146	88	514
147	88	512
148	89	509
149	89	506
150	89	503
151	89	500
152	89	498
153	90	495
154	90	492
155	90	489
156	90	487
157	90	484
158	91	482
159	91	479
160	91	477
161	91	474
162	91	472
163	92	470
164	92	467
165	92	465
166	92	463
167	93	461
168	93	459
169	93	457
170	93	455
171	94	452
172	94	450
173	94	448
174	94	446
175	94	444
176	95	442
177	95	439
178	95	437
179	95	435
180	95	433
181	95	431
182	96	429
183	96	427
184	96	425
185	96	423
186	96	421
187	97	419
188	97	418
189	97	416
190	97	414
191	97	412
192	98	410
193	98	408
194	98	407
195	98	405
196	98	403
197	99	401
198	99	400
199	99	398
200	99	397
201	100	395
202	100	393
203	100	392
204	100	390
205	101	389
206	101	388
207	101	386
208	101	384
209	101	383
210	102	382
211	102	380
212	103	381
213	103	380
214	103	378
215	103	377
216	104	376
217	104	374
218	104	373
219	104	372
220	105	370
221	105	369
222	105	367
223	105	366
224	105	364
225	106	363
226	106	362
227	106	360
228	106	359
229	106	357
230	107	356
231	107	355
232	107	353
233	107	353
234	108	351
235	108	350
236	108	349
237	108	348
238	109	347
239	109	345
240	109	344
241	109	343
242	109	342
243	110	341
244	110	339
245	110	338
246	110	337
247	110	336
248	111	335
249	111	333
250	111	332
251	111	331
252	111	330
253	112	329
254	112	328
255	112	326
256	112	325
257	112	324
258	113	323
259	113	322
260	113	321
261	113	320
262	113	319
263	114	317
264	114	316
265	114	315
266	114	314
267	114	313
268	115	312
269	115	311
270	115	310
271	115	309
272	115	308
273	116	307
274	116	306
275	116	305
276	116	304
277	116	303
278	117	302
279	117	301
280	117	300
281	117	299
282	118	298
283	118	297
284	118	297
285	118	296
286	118	295
287	118	294
288	119	293
289	119	292
290	119	291
291	119	290
292	120	289
293	120	288
294	120	287
295	120	286
296	120	285
297	121	285
298	121	284
299	121	283
300	121	282
301	121	281
302	122	280
303	122	280
304	122	279
305	122	278
306	123	277
307	123	276
308	123	276
309	123	275
310	124	274
311	124	273
312	124	273
313	124	272
314	124	271
315	125	270
316	125	269
317	125	269
318	125	268
319	125	267
320	126	266
321	126	266
322	126	265
323	126	264
324	126	263
325	127	262
326	127	262
327	127	261
328	127	260
329	128	259
330	128	259
331	128	258
332	128	257
333	128	257
334	129	256
335	129	255
336	129	254
337	129	254
338	129	253
339	130	252
340	130	251
341	130	251
342	130	250
343	130	249
344	131	248
345	131	248
346	131	247
347	131	246
348	131	246
349	132	245
350	132	244
351	132	243
352	132	243
353	132	242
354	133	241
355	133	240
356	133	240
357	133	239
358	134	239
359	134	238
360	134	238
361	134	237
362	134	236
363	135	236
364	135	235
365	135	234
366	135	234
367	135	233
368	136	232
369	136	232
370	136	231
371	136	231
372	137	230
373	137	229
374	138	230
375	138	229
376	138	229
377	138	228
378	139	227
379	139	227
380	139	226
381	139	226
382	140	225
383	140	224
384	140	224
385	140	223
386	140	223
387	141	222
388	141	221
389	141	221
390	141	220
391	141	219
392	142	219
393	142	218
394	142	218
395	142	217
396	142	217
397	143	216
398	143	215
399	143	215
400	143	214
401	143	214
402	144	213
403	144	212
404	144	212
405	144	211
406	144	211
407	145	210
408	145	209
409	145	209
410	145	208
411	145	208
412	146	207
413	146	207
414	146	206
415	146	206
416	146	205
417	147	204
418	147	204
419	147	203
420	147	203
421	148	202
422	148	202
423	148	201
424	148	200
425	148	200
426	148	199
427	149	199
428	149	198
429	149	198
430	149	197
431	150	197
432	150	196
433	150	196
434	150	195
435	150	195
436	151	194
437	151	194
438	151	193
439	151	193
440	151	192
441	152	192
442	152	191
443	152	191
444	152	190
445	153	190
446	153	189
447	153	189
448	153	188
449	153	188
450	154	187
451	154	187
452	154	186
453	154	186
454	155	185
455	155	185
456	155	184
457	155	184
458	155	183
459	156	183
460	156	182
461	157	183
462	157	182
463	157	182
464	158	181
465	158	181
466	158	180
467	158	180
468	158	179
469	158	179
470	159	178
471	159	178
472	159	177
473	159	177
474	160	176
475	160	176
476	160	176
477	160	175
478	160	175
479	161	174
480	161	174
481	161	173
482	161	173
483	161	172
484	162	172
485	162	171
486	162	171
487	162	170
488	162	170
489	163	169
490	163	169
491	163	168
492	163	168
493	163	167
494	164	167
495	164	166
496	164	166
497	164	165
498	164	165
499	165	165
500	165	164
501	165	164
502	165	163
503	165	163
504	166	162
505	166	162
506	166	161
507	166	161
508	166	161
509	167	160
510	167	160
511	167	159
512	167	159
513	168	158
514	168	158
515	168	158
516	168	157
