iter	Passed	Remaining
0	57	57033
1	57	28616
2	58	19333
3	58	14582
4	58	11721
5	59	9800
6	59	8424
7	59	7390
8	59	6587
9	60	5944
10	60	5419
11	60	4979
12	60	4608
13	60	4289
14	61	4014
15	61	3772
16	61	3561
17	61	3373
18	62	3206
19	62	3055
20	62	2922
21	62	2796
22	63	2681
23	63	2576
24	63	2479
25	63	2389
26	64	2308
27	64	2232
28	64	2160
29	64	2094
30	64	2031
31	65	1972
32	65	1916
33	65	1864
34	65	1814
35	66	1767
36	66	1723
37	66	1681
38	66	1641
39	66	1604
40	67	1569
41	67	1534
42	67	1502
43	67	1470
44	67	1441
45	68	1413
46	68	1385
47	68	1360
48	68	1335
49	69	1312
50	69	1289
51	69	1267
52	69	1245
53	69	1225
54	70	1205
55	70	1187
56	70	1168
57	70	1150
58	70	1132
59	71	1115
60	71	1099
61	71	1083
62	71	1068
63	72	1054
64	72	1040
65	72	1027
66	72	1013
67	73	1000
68	73	987
69	73	975
70	73	962
71	73	950
72	73	938
73	74	928
74	74	917
75	74	906
76	75	904
77	75	894
78	75	885
79	76	875
80	76	865
81	76	856
82	76	847
83	76	838
84	77	830
85	77	822
86	77	814
87	77	807
88	78	799
89	78	791
90	78	784
91	78	778
92	79	771
93	79	765
94	79	758
95	79	751
96	80	745
97	80	739
98	80	732
99	80	726
100	80	720
101	81	714
102	81	708
103	81	703
104	81	697
105	82	692
106	82	686
107	82	680
108	82	675
109	82	670
110	83	665
111	83	660
112	83	655
113	83	650
114	83	645
115	84	640
116	84	635
117	84	630
118	84	626
119	84	621
120	84	617
121	85	612
122	85	608
123	85	604
124	85	600
125	85	596
126	86	591
127	86	588
128	86	584
129	86	581
130	87	577
131	87	573
132	87	569
133	87	566
134	87	563
135	88	559
136	88	556
137	88	553
138	88	549
139	89	546
140	89	543
141	89	539
142	89	536
143	89	533
144	89	530
145	90	527
146	90	524
147	90	521
148	90	518
149	91	515
150	91	512
151	91	509
152	91	507
153	91	504
154	91	501
155	92	499
156	92	496
157	92	493
158	92	491
159	93	489
160	93	486
161	93	483
162	93	481
163	93	479
164	94	476
165	94	474
166	94	471
167	94	469
168	95	467
169	95	465
170	95	462
171	95	460
172	95	458
173	96	456
174	96	453
175	96	451
176	96	450
177	97	448
178	97	446
179	97	444
180	97	442
181	98	441
182	98	439
183	98	437
184	98	435
185	99	433
186	99	431
187	99	429
188	99	428
189	99	426
190	100	424
191	100	422
192	100	420
193	100	419
194	101	417
195	101	415
196	101	413
197	101	412
198	101	410
199	102	408
200	102	406
201	102	405
202	102	403
203	102	401
204	103	399
205	103	398
206	103	396
207	103	395
208	104	393
209	104	391
210	104	390
211	104	388
212	104	387
213	105	385
214	105	384
215	105	382
216	105	381
217	105	379
218	106	378
219	106	376
220	106	375
221	106	373
222	106	372
223	107	371
224	107	369
225	107	368
226	107	366
227	107	365
228	108	364
229	108	362
230	108	361
231	108	360
232	109	359
233	109	357
234	109	356
235	110	357
236	110	356
237	110	355
238	111	353
239	111	352
240	111	351
241	111	350
242	111	348
243	112	347
244	112	346
245	112	345
246	112	343
247	113	342
248	113	341
249	113	340
250	113	339
251	113	338
252	114	337
253	114	336
254	114	334
255	114	334
256	115	333
257	115	331
258	115	330
259	115	329
260	116	328
261	116	327
262	116	326
263	116	325
264	116	324
265	117	322
266	117	321
267	117	320
268	117	319
269	117	318
270	118	317
271	118	316
272	118	315
273	118	314
274	118	313
275	119	312
276	119	311
277	119	310
278	119	309
279	119	308
280	120	307
281	120	306
282	120	305
283	120	304
284	120	303
285	121	302
286	121	301
287	121	300
288	121	299
289	121	298
290	122	297
291	122	296
292	122	295
293	122	294
294	122	293
295	123	292
296	123	292
297	123	291
298	123	290
299	124	289
300	124	288
301	124	287
302	124	286
303	124	285
304	125	284
305	125	284
306	125	283
307	125	282
308	125	281
309	126	280
310	126	279
311	126	278
312	126	277
313	126	277
314	127	276
315	127	275
316	127	274
317	127	273
318	127	272
319	128	272
320	128	271
321	128	270
322	128	269
323	128	268
324	129	268
325	129	267
326	129	266
327	129	265
328	129	264
329	130	264
330	130	263
331	130	262
332	130	262
333	131	262
334	131	261
335	132	260
336	132	260
337	132	260
338	133	259
339	133	258
340	133	258
341	133	257
342	134	257
343	134	256
344	134	255
345	134	255
346	135	254
347	135	253
348	135	252
349	135	252
350	135	251
351	136	250
352	136	250
353	136	249
354	136	248
355	137	248
356	137	247
357	137	246
358	137	246
359	138	245
360	138	245
361	138	244
362	139	244
363	139	243
364	139	243
365	140	242
366	140	242
367	140	241
368	141	241
369	141	240
370	141	239
371	141	239
372	142	239
373	142	238
374	143	238
375	143	238
376	143	237
377	144	237
378	144	236
379	144	236
380	145	236
381	145	235
382	145	234
383	146	234
384	146	233
385	146	233
386	146	232
387	147	232
388	147	231
389	147	230
390	147	230
391	147	229
392	148	228
393	148	228
394	148	227
395	148	226
396	148	226
397	149	225
398	149	225
399	149	224
400	149	223
401	150	223
402	150	222
403	150	222
404	150	221
405	150	220
406	151	220
407	151	219
408	151	219
409	151	218
410	151	217
411	152	217
412	152	216
413	152	215
414	152	215
415	152	214
416	153	214
417	153	213
418	153	212
419	153	212
420	154	211
421	154	211
422	154	210
423	154	210
424	154	209
425	155	208
426	155	208
427	155	207
428	155	207
429	156	206
430	156	206
431	156	205
432	156	205
433	156	204
434	157	204
435	157	203
436	157	202
437	157	202
438	158	202
439	158	201
440	158	200
441	158	200
442	159	199
443	159	199
444	159	198
445	160	199
446	160	198
447	160	198
448	161	197
449	161	197
450	161	196
451	161	196
452	161	195
453	162	194
454	162	194
455	162	193
456	162	193
457	162	192
458	163	192
459	163	191
460	163	191
461	163	190
462	164	190
463	164	189
464	164	189
465	164	188
466	165	188
467	165	187
468	165	187
469	165	186
470	165	186
471	166	185
472	166	185
473	166	184
474	166	184
475	166	183
476	167	183
477	167	182
478	167	182
479	167	181
480	168	181
481	168	180
482	168	180
483	168	179
484	168	179
485	169	178
486	169	178
487	169	177
488	169	177
489	170	176
490	170	176
491	170	175
492	170	175
493	170	175
494	171	174
495	171	174
496	171	173
497	171	173
498	172	172
499	172	172
500	172	171
501	172	171
502	173	170
503	173	170
504	173	170
505	173	169
506	173	169
507	174	168
508	174	168
509	174	167
510	174	167
511	174	166
512	175	166
513	175	165
514	175	165
515	175	164
516	175	164
517	176	163
518	176	163
519	176	163
520	176	162
521	177	162
522	177	161
523	177	161
524	177	160
525	177	160
526	178	159
527	178	159
528	178	159
529	178	158
530	179	158
531	179	157
532	179	157
533	179	156
534	179	156
535	180	155
536	180	155
537	180	155
538	180	154
539	180	154
540	181	153
541	181	153
542	181	152
543	181	152
544	182	151
545	182	151
546	182	151
547	182	150
548	182	150
549	183	149
550	183	149
551	183	148
552	183	148
553	183	148
554	184	147
555	184	147
556	184	146
557	184	146
558	185	145
559	185	145
560	185	145
561	185	144
562	185	144
563	186	143
564	186	143
565	186	143
566	186	142
567	187	142
568	187	141
569	187	141
570	187	141
571	188	140
572	188	140
573	188	139
574	188	139
575	188	139
576	189	138
577	189	138
578	189	137
579	189	137
580	189	136
581	190	136
582	190	136
583	190	135
584	190	135
585	190	134
586	191	134
587	191	134
588	191	133
589	191	133
590	192	133
591	192	132
592	193	132
593	193	132
594	193	131
595	193	131
596	194	130
597	194	130
598	194	130
599	194	129
600	194	129
601	195	129
602	195	128
603	195	128
604	195	127
605	195	127
606	196	126
607	196	126
608	196	126
609	196	125
610	196	125
611	197	124
612	197	124
613	197	124
614	197	123
615	197	123
616	198	123
617	198	122
618	198	122
619	198	121
620	198	121
621	199	121
622	199	120
623	199	120
624	199	119
625	199	119
626	200	119
627	200	118
628	200	118
629	200	117
630	200	117
631	201	117
632	201	116
633	201	116
634	201	115
635	201	115
636	202	115
637	202	114
638	202	114
639	202	114
640	203	113
641	203	113
642	203	112
643	203	112
644	203	112
645	204	111
646	204	111
647	204	111
648	204	110
649	205	110
650	205	110
651	205	109
652	205	109
653	205	108
654	206	108
655	206	108
656	206	107
657	206	107
658	207	107
659	207	106
660	207	106
661	207	106
662	207	105
663	208	105
664	208	104
665	208	104
666	208	104
667	208	103
668	209	103
669	209	103
670	209	102
671	209	102
672	210	102
673	210	101
674	210	101
675	210	100
676	210	100
677	211	100
678	211	99
679	211	99
680	211	99
681	211	98
682	212	98
683	212	98
684	212	97
685	212	97
686	213	97
687	213	96
688	213	96
689	213	96
690	214	95
691	214	95
692	214	95
693	214	94
694	214	94
695	215	93
696	215	93
697	215	93
698	215	92
699	215	92
700	216	92
701	216	91
702	216	91
703	216	91
704	216	90
705	217	90
706	217	90
707	217	89
708	217	89
709	217	89
710	218	88
711	218	88
712	218	88
713	218	87
714	219	87
715	219	86
716	219	86
717	219	86
718	220	85
719	220	85
720	221	85
721	221	85
722	221	84
723	221	84
724	222	84
725	222	83
726	222	83
727	222	83
728	222	82
729	223	82
730	223	82
731	223	81
732	223	81
733	223	81
734	224	80
735	224	80
736	224	80
737	224	79
738	224	79
739	225	79
